FIPS_Code,County,State,Year,variable,value
6081,San Mateo County, California,2011,Total,721752
6085,Santa Clara County, California,2011,Total,1783371
6099,Stanislaus County, California,2011,Total,513309
6111,Ventura County, California,2011,Total,820547
8005,Arapahoe County, Colorado,2011,Total,580673
8031,Denver County, Colorado,2011,Total,607662
8041,El Paso County, Colorado,2011,Total,617974
9001,Fairfield County, Connecticut,2011,Total,909336
9003,Hartford County, Connecticut,2011,Total,869615
9009,New Haven County, Connecticut,2011,Total,834385
10003,New Castle County, Delaware,2011,Total,525497
11001,District of Columbia, District of Columbia,2011,Total,584583
12009,Brevard County, Florida,2011,Total,536439
12011,Broward County, Florida,2011,Total,1764798
12031,Duval County, Florida,2011,Total,853564
12057,Hillsborough County, Florida,2011,Total,1246439
12071,Lee County, Florida,2011,Total,622371
12086,Miami-Dade County, Florida,2011,Total,2516968
12095,Orange County, Florida,2011,Total,1139047
12099,Palm Beach County, Florida,2011,Total,1315086
12103,Pinellas County, Florida,2011,Total,903351
12105,Polk County, Florida,2011,Total,594748
12127,Volusia County, Florida,2011,Total,484572
13067,Cobb County, Georgia,2011,Total,686515
13089,DeKalb County, Georgia,2011,Total,683582
13121,Fulton County, Georgia,2011,Total,921563
13135,Gwinnett County, Georgia,2011,Total,819375
15003,Honolulu County, Hawaii,2011,Total,933104
17031,Cook County, Illinois,2011,Total,5135272
17043,DuPage County, Illinois,2011,Total,910678
17089,Kane County, Illinois,2011,Total,514231
17097,Lake County, Illinois,2011,Total,687497
17197,Will County, Illinois,2011,Total,674118
18097,Marion County, Indiana,2011,Total,892705
20173,Sedgwick County, Kansas,2011,Total,494059
21111,Jefferson County, Kentucky,2011,Total,731284
24005,Baltimore County, Maryland,2011,Total,788241
24031,Montgomery County, Maryland,2011,Total,980286
24033,Prince George's County, Maryland,2011,Total,848763
24510,Baltimore city, Maryland,2011,Total,596532
25005,Bristol County, Massachusetts,2011,Total,532894
25009,Essex County, Massachusetts,2011,Total,733892
25017,Middlesex County, Massachusetts,2011,Total,1464603
25025,Suffolk County, Massachusetts,2011,Total,691583
25027,Worcester County, Massachusetts,2011,Total,777198
26081,Kent County, Michigan,2011,Total,598476
26099,Macomb County, Michigan,2011,Total,834200
26125,Oakland County, Michigan,2011,Total,1200400
26163,Wayne County, Michigan,2011,Total,1782960
27053,Hennepin County, Minnesota,2011,Total,1146619
27123,Ramsey County, Minnesota,2011,Total,501686
29095,Jackson County, Missouri,2011,Total,664120
29189,St. Louis County, Missouri,2011,Total,979623
31055,Douglas County, Nebraska,2011,Total,512915
32003,Clark County, Nevada,2011,Total,1946168
34003,Bergen County, New Jersey,2011,Total,900942
34007,Camden County, New Jersey,2011,Total,506955
34013,Essex County, New Jersey,2011,Total,765495
34017,Hudson County, New Jersey,2011,Total,634267
34023,Middlesex County, New Jersey,2011,Total,789987
34029,Ocean County, New Jersey,2011,Total,571778
34031,Passaic County, New Jersey,2011,Total,494282
34039,Union County, New Jersey,2011,Total,533042
35001,Bernalillo County, New Mexico,2011,Total,662220
36005,Bronx County, New York,2011,Total,1357260
36029,Erie County, New York,2011,Total,892277
36047,Kings County, New York,2011,Total,2512502
36055,Monroe County, New York,2011,Total,720060
36059,Nassau County, New York,2011,Total,1325155
36061,New York County, New York,2011,Total,1556394
36081,Queens County, New York,2011,Total,2220676
36103,Suffolk County, New York,2011,Total,1472159
36119,Westchester County, New York,2011,Total,929372
37119,Mecklenburg County, North Carolina,2011,Total,930570
37183,Wake County, North Carolina,2011,Total,908099
39035,Cuyahoga County, Ohio,2011,Total,1244838
39049,Franklin County, Ohio,2011,Total,1154122
39061,Hamilton County, Ohio,2011,Total,784486
39113,Montgomery County, Ohio,2011,Total,517034
39153,Summit County, Ohio,2011,Total,529943
40109,Oklahoma County, Oklahoma,2011,Total,717630
40143,Tulsa County, Oklahoma,2011,Total,601349
41051,Multnomah County, Oregon,2011,Total,733194
41067,Washington County, Oregon,2011,Total,533620
42003,Allegheny County, Pennsylvania,2011,Total,1195277
42045,Delaware County, Pennsylvania,2011,Total,538222
42071,Lancaster County, Pennsylvania,2011,Total,508620
42091,Montgomery County, Pennsylvania,2011,Total,784802
42101,Philadelphia County, Pennsylvania,2011,Total,1492682
44007,Providence County, Rhode Island,2011,Total,600090
47037,Davidson County, Tennessee,2011,Total,611947
47157,Shelby County, Tennessee,2011,Total,917556
48029,Bexar County, Texas,2011,Total,1720129
48085,Collin County, Texas,2011,Total,807421
48113,Dallas County, Texas,2011,Total,2387110
48121,Denton County, Texas,2011,Total,674949
48141,El Paso County, Texas,2011,Total,805466
48157,Fort Bend County, Texas,2011,Total,599547
48201,Harris County, Texas,2011,Total,4135032
48215,Hidalgo County, Texas,2011,Total,790642
48439,Tarrant County, Texas,2011,Total,1825124
48453,Travis County, Texas,2011,Total,1041547
49035,Salt Lake County, Utah,2011,Total,1034128
49049,Utah County, Utah,2011,Total,518440
51059,Fairfax County, Virginia,2011,Total,1092105
53033,King County, Washington,2011,Total,1941316
53053,Pierce County, Washington,2011,Total,789777
53061,Snohomish County, Washington,2011,Total,709703
55079,Milwaukee County, Wisconsin,2011,Total,932012
1073,Jefferson County, Alabama,2012,Total,646961
4013,Maricopa County, Arizona,2012,Total,3889500
4019,Pima County, Arizona,2012,Total,968447
6001,Alameda County, California,2012,Total,1525055
6013,Contra Costa County, California,2012,Total,1070057
6019,Fresno County, California,2012,Total,930872
6029,Kern County, California,2012,Total,825020
6037,Los Angeles County, California,2012,Total,9808116
6059,Orange County, California,2012,Total,3054106
6065,Riverside County, California,2012,Total,2234117
6067,Sacramento County, California,2012,Total,1431110
6071,San Bernardino County, California,2012,Total,2035052
6073,San Diego County, California,2012,Total,3098088
6075,San Francisco County, California,2012,Total,812148
6077,San Joaquin County, California,2012,Total,688873
6081,San Mateo County, California,2012,Total,733455
6085,Santa Clara County, California,2012,Total,1811694
6099,Stanislaus County, California,2012,Total,515955
6111,Ventura County, California,2012,Total,824845
8005,Arapahoe County, Colorado,2012,Total,589986
8031,Denver County, Colorado,2012,Total,622622
8041,El Paso County, Colorado,2012,Total,626467
8059,Jefferson County, Colorado,2012,Total,534953
9001,Fairfield County, Connecticut,2012,Total,915813
9003,Hartford County, Connecticut,2012,Total,872655
9009,New Haven County, Connecticut,2012,Total,838123
10003,New Castle County, Delaware,2012,Total,529630
11001,District of Columbia, District of Columbia,2012,Total,598151
12009,Brevard County, Florida,2012,Total,540315
12011,Broward County, Florida,2012,Total,1801389
12031,Duval County, Florida,2012,Total,860581
12057,Hillsborough County, Florida,2012,Total,1258568
12071,Lee County, Florida,2012,Total,636067
12086,Miami-Dade County, Florida,2012,Total,2551967
12095,Orange County, Florida,2012,Total,1174247
12099,Palm Beach County, Florida,2012,Total,1338251
12103,Pinellas County, Florida,2012,Total,907779
12105,Polk County, Florida,2012,Total,600528
12127,Volusia County, Florida,2012,Total,486465
13067,Cobb County, Georgia,2012,Total,695283
13089,DeKalb County, Georgia,2012,Total,693646
13121,Fulton County, Georgia,2012,Total,948111
13135,Gwinnett County, Georgia,2012,Total,836907
15003,Honolulu County, Hawaii,2012,Total,945975
17031,Cook County, Illinois,2012,Total,5151537
17043,DuPage County, Illinois,2012,Total,915331
17089,Kane County, Illinois,2012,Total,515901
17097,Lake County, Illinois,2012,Total,684185
17197,Will County, Illinois,2012,Total,674103
18097,Marion County, Indiana,2012,Total,901338
20173,Sedgwick County, Kansas,2012,Total,497261
21111,Jefferson County, Kentucky,2012,Total,736895
24005,Baltimore County, Maryland,2012,Total,796529
24031,Montgomery County, Maryland,2012,Total,996632
24033,Prince George's County, Maryland,2012,Total,860321
24510,Baltimore city, Maryland,2012,Total,598255
25005,Bristol County, Massachusetts,2012,Total,534291
25009,Essex County, Massachusetts,2012,Total,739567
25017,Middlesex County, Massachusetts,2012,Total,1482545
25025,Suffolk County, Massachusetts,2012,Total,701494
25027,Worcester County, Massachusetts,2012,Total,781577
26081,Kent County, Michigan,2012,Total,604867
26099,Macomb County, Michigan,2012,Total,839211
26125,Oakland County, Michigan,2012,Total,1210002
26163,Wayne County, Michigan,2012,Total,1773105
27053,Hennepin County, Minnesota,2012,Total,1164502
27123,Ramsey County, Minnesota,2012,Total,506985
29095,Jackson County, Missouri,2012,Total,664975
29189,St. Louis County, Missouri,2012,Total,979741
31055,Douglas County, Nebraska,2012,Total,518535
32003,Clark County, Nevada,2012,Total,1975043
34003,Bergen County, New Jersey,2012,Total,908282
34007,Camden County, New Jersey,2012,Total,507162
34013,Essex County, New Jersey,2012,Total,769060
34017,Hudson County, New Jersey,2012,Total,646136
34023,Middlesex County, New Jersey,2012,Total,798196
34029,Ocean County, New Jersey,2012,Total,573525
34031,Passaic County, New Jersey,2012,Total,494210
34039,Union County, New Jersey,2012,Total,537296
35001,Bernalillo County, New Mexico,2012,Total,663258
36005,Bronx County, New York,2012,Total,1374278
36029,Erie County, New York,2012,Total,893393
36047,Kings County, New York,2012,Total,2547456
36055,Monroe County, New York,2012,Total,723395
36059,Nassau County, New York,2012,Total,1328872
36061,New York County, New York,2012,Total,1570809
36081,Queens County, New York,2012,Total,2248849
36103,Suffolk County, New York,2012,Total,1468231
36119,Westchester County, New York,2012,Total,937992
37081,Guilford County, North Carolina,2012,Total,486835
37119,Mecklenburg County, North Carolina,2012,Total,954023
37183,Wake County, North Carolina,2012,Total,929108
39035,Cuyahoga County, Ohio,2012,Total,1239009
39049,Franklin County, Ohio,2012,Total,1169005
39061,Hamilton County, Ohio,2012,Total,783135
39113,Montgomery County, Ohio,2012,Total,518208
39153,Summit County, Ohio,2012,Total,531914
40109,Oklahoma County, Oklahoma,2012,Total,728161
40143,Tulsa County, Oklahoma,2012,Total,603542
41051,Multnomah County, Oregon,2012,Total,745334
41067,Washington County, Oregon,2012,Total,541898
42003,Allegheny County, Pennsylvania,2012,Total,1196603
42045,Delaware County, Pennsylvania,2012,Total,539696
42071,Lancaster County, Pennsylvania,2012,Total,512363
42091,Montgomery County, Pennsylvania,2012,Total,788180
42101,Philadelphia County, Pennsylvania,2012,Total,1506286
44007,Providence County, Rhode Island,2012,Total,602402
47037,Davidson County, Tennessee,2012,Total,625304
47157,Shelby County, Tennessee,2012,Total,923074
48029,Bexar County, Texas,2012,Total,1750665
48085,Collin County, Texas,2012,Total,830115
48113,Dallas County, Texas,2012,Total,2424114
48121,Denton County, Texas,2012,Total,694697
48141,El Paso County, Texas,2012,Total,812645
48157,Fort Bend County, Texas,2012,Total,622049
48201,Harris County, Texas,2012,Total,4211148
48215,Hidalgo County, Texas,2012,Total,796479
48439,Tarrant County, Texas,2012,Total,1856067
48453,Travis County, Texas,2012,Total,1072380
49035,Salt Lake County, Utah,2012,Total,1050033
49049,Utah County, Utah,2012,Total,527200
51059,Fairfax County, Virginia,2012,Total,1108999
53033,King County, Washington,2012,Total,1976957
53053,Pierce County, Washington,2012,Total,795152
53061,Snohomish County, Washington,2012,Total,723125
55025,Dane County, Wisconsin,2012,Total,489738
55079,Milwaukee County, Wisconsin,2012,Total,934152
1073,Jefferson County, Alabama,2013,Total,644588
4013,Maricopa County, Arizona,2013,Total,3959308
4019,Pima County, Arizona,2013,Total,970384
6001,Alameda County, California,2013,Total,1550103
6013,Contra Costa County, California,2013,Total,1083531
6019,Fresno County, California,2013,Total,937990
6029,Kern County, California,2013,Total,831344
6037,Los Angeles County, California,2013,Total,9864324
6059,Orange County, California,2013,Total,3076430
6065,Riverside County, California,2013,Total,2257870
6067,Sacramento County, California,2013,Total,1441178
6071,San Bernardino County, California,2013,Total,2041043
6073,San Diego County, California,2013,Total,3129334
6075,San Francisco County, California,2013,Total,823902
6077,San Joaquin County, California,2013,Total,690366
6081,San Mateo County, California,2013,Total,741938
6085,Santa Clara County, California,2013,Total,1833880
6099,Stanislaus County, California,2013,Total,518152
6111,Ventura County, California,2013,Total,827429
8005,Arapahoe County, Colorado,2013,Total,602200
8031,Denver County, Colorado,2013,Total,636761
8041,El Paso County, Colorado,2013,Total,637647
9001,Fairfield County, Connecticut,2013,Total,921302
9003,Hartford County, Connecticut,2013,Total,873953
