FIPS_Code,County,State,Total,Male,Female,Under18,a18to64,over65,oneRace,White,AfricanAmerican,Native,Asian,Hawaiian,otherRace,Multiracial,FamilyHousehold,OtherLivingArrangements,totPoverty25,NoHS,HighSchool,SomeCollege,Bachelors,AmericanBorn,ForeignBorn,NaturalizedCitizen,Disability,NoDisability,totPoverty16to64,FullTime,PartTime,NoWork,Year
12009,Brevard County, Florida,534329,260499,273830,105330,320943,108056,521697,447701,53169,2290,10664,55,7818,12632,437918,96411,388804,34044,128490,128016,98254,486456,47873,28375,78076,454529,336002,151515,87897,96590,2010
12011,Broward County, Florida,1739280,841341,897939,386587,1105665,247028,1694941,1112555,461586,5597,57620,1625,55958,44339,1422978,316302,1206266,153137,342061,356482,354586,1183041,556239,283243,194052,1543723,1153679,551382,320844,281453,2010
12031,Duval County, Florida,843733,406035,437698,201408,548357,93968,820554,522491,251156,1872,34536,252,10247,23179,692008,151725,564970,67333,164321,190926,142390,765155,78578,42813,97953,737605,571646,274468,144932,152246,2010
12057,Hillsborough County, Florida,1216607,592535,624072,291860,782659,142088,1183676,887419,203439,13631,42682,582,35923,32931,988542,228065,802910,110437,223234,237251,231988,1023847,192760,84966,134194,1078901,816087,391203,202395,222489,2010
12071,Lee County, Florida,613103,301727,311376,119194,350117,143792,603465,514635,51477,1501,8786,51,27015,9638,499250,113853,449418,63248,143792,137153,105225,518087,95016,33659,81832,531271,364293,148081,97216,118996,2010
12086,Miami-Dade County, Florida,2447254,1167872,1279382,540671,1556908,349675,2418828,1837173,449070,4290,38819,110,89366,28426,2104234,343020,1673504,376279,466422,400745,430058,1160417,1286837,637612,256664,2189008,1623652,768452,355366,499834,2010
12095,Orange County, Florida,1126295,553120,573175,264085,757223,104987,1089011,757296,227806,3901,50113,2057,47838,37284,930156,196139,720579,90735,192205,218430,219209,917097,209198,100454,106093,1019565,788129,365211,226728,196190,2010
12099,Palm Beach County, Florida,1308349,631453,676896,266229,760852,281268,1287713,1002221,223611,1730,31444,822,27885,20636,1043404,264945,940361,119025,250582,270829,299925,1003934,304415,136793,148553,1158817,794137,377795,216355,199987,2010
12103,Pinellas County, Florida,901959,432649,469310,160146,552759,189054,884364,755541,91580,1960,27456,770,7057,17595,674317,227642,676630,79797,203005,206208,187620,795650,106309,57563,128995,771745,573243,275326,148821,149096,2010
12105,Polk County, Florida,588527,286546,301981,139426,343320,105781,578722,464996,84247,2085,10309,238,16847,9805,504208,84319,397874,71495,143068,110838,72473,524799,63728,24201,85371,502455,359393,158429,93759,107205,2010
12127,Volusia County, Florida,479516,232490,247026,91221,285893,102402,470354,389514,49046,1195,7254,90,23255,9162,389688,89828,351072,44361,111718,121044,73949,445840,33676,18423,70297,409068,296732,127976,71913,96843,2010
13067,Cobb County, Georgia,684334,331347,352987,176383,449133,58818,671332,427072,171438,1543,32368,317,38594,13002,579780,104554,447286,41976,83065,119584,202661,582389,101945,37559,50042,633481,468509,235552,128216,104741,2010
